evidence_layer	analysis	result	robustness	role_in_manuscript	claim_allowed	claim_forbidden
Reproduction	Exact rerun of frozen Phase 1B pipeline	D1/D7/D14 rho=0.8214/0.8214/0.8571; absolute differences from anchors=0/0/0	All three within prespecified 0.05 tolerance; constitution and shared-universe hashes unchanged	Main Methods/QC and Supplement audit	Frozen primary result is exactly reproducible	No claim of external replication from rerunning the same inputs
Program-level primary	Spearman concordance of seven participant-blocked paired-Hedges-g vectors	D1 rho=0.8214, D7 rho=0.8214, D14 rho=0.8571; all positive	Participant-bootstrap 95% CIs=0.5714-0.9643, 0.4286-0.9643, 0.2143-0.9286; exact 7! label P=0.0341/0.0341/0.0238	Main Result and core figure candidate	Seven frozen programs show reproducible cross-cohort temporal concordance	No AFL-versus-NAFL superiority, mechanism, or causal equivalence
Multi-time random null	Ten-thousand gene-count-matched random program architectures	Observed mean rho=0.8333, empirical P=0.0313; minimum rho=0.8214, P=0.0110	Consistent with original 2,000-iteration Phase 1B null; fixed shared universe and program sizes	Main Result	The joint three-time architecture exceeds gene-count-matched random architectures	No claim that every individual day separately exceeds the random-program null
Participant robustness	Full LOPO in both cohorts	31/31 deletions retained positive D1/D7/D14 concordance; worst day-specific rho=0.7500	Every program effect re-estimated after each participant deletion; worst mean rho=0.7976	Main Result; detailed table in Supplement	No single participant drives the cross-cohort architecture	No cell- or sample-level pseudo-replication claim
Genome-wide concordance	Spearman correlation across 16,942 paired standardized gene effects	D1/D7/D14 rho=0.7143/0.5052/0.3730; sign concordance=73.8%/66.4%/63.2%	All participant-bootstrap intervals positive; top-half sign concordance=84.0%/72.4%/67.3%	Main independent evidence layer; detailed gene table in Supplement	Cross-cohort concordance extends beyond the seven selected programs	No claim that all genes or exact effect sizes replicate
Genome-wide null	Ten-thousand gene-label permutations at each day	All three empirical one-sided P=0.00010; percentile=100	Gene labels permuted with cohort A effects fixed and cohort B labels randomized; seed frozen	Main supporting statistic; null iterations in Supplement	Genome-wide effect alignment is far above random gene-label expectation	No pathway-specific mechanistic inference from this global test
Reciprocal rank replication	Top 10% positive and negative genes transferred AFL-to-NAFL and NAFL-to-AFL across three days	12/12 tests had expected NES>0 and 12/12 had BH q<0.05	Exactly 12 prespecified tests; 10,000 preranked GSEA permutations per test; BH across all 12	Main independent evidence layer; full table in Supplement	Both positive and negative ranked responses reciprocally replicate	No new pathway discovery or optimized cutoff claim
Transition architecture	Correlation of seven D14-minus-D1 program-effect vectors	Transition rho=0.8571; 6/7 programs changed in the same direction; both early programs decayed and all three delayed programs strengthened in both cohorts	Meets frozen rho>=0.60 and >=5/7 rules; matched-random transition P=0.2862 and therefore not exceptional to random programs	Main temporal interpretation with null caveat	Frozen programs reproduce an early-to-delayed transition ordering	No claim that transition correlation itself exceeds the random-program transition null
Delayed remodeling	ECM remodeling, collagen organization, and matrix maturation D14-minus-D1 effects	All 3/3 delayed programs strengthened in both cohorts	Participant-level D1/D14 distributions retained; program effects positive at D14 in both cohorts	Main biological interpretation	Delayed ECM-related strengthening is reproduced across cohorts	No cell-type attribution or direct collagen synthesis measurement
Collagen sensitivity	Remove COL1A1/COL1A2, remove all COL-prefix genes, and leave one gene out	D14 g remained positive after major removals: AFL 1.2399/1.1594; NAFL 1.0465/0.9656; all 69 LOO values positive	LOO ranges AFL 1.2391-1.3162 and NAFL 1.0530-1.1209	Main robustness sentence; full sensitivity in Supplement	Collagen-organization component is not driven by COL1A1/COL1A2 or one gene	No claim of newly discovered collagen induction or protein-level validation
Proliferation boundary	Prespecified program trajectory	Shared early positive response; D14 AFL g=0.3320 and NAFL g=-0.8666	Directional separation is stable in prior sensitivities, but AFL D14 estimate is uncertain	Supplement only / optional Discussion limitation	Exploratory cross-cohort divergence may be described as hypothesis-generating	No confirmatory AFL-specific or NAFL-specific mechanism; not a headline
Secondary timepoints	AFL D3/D21/D28 and NAFL D29 context	AFL extended trajectory retained; NAFL D29 explicitly follows the second treatment	Excluded from primary D0/D1/D7/D14 architecture	Supplement only	Contextual persistence can be shown descriptively	No cross-cohort primary inference from non-equivalent treatment contexts
Negative boundary	Frozen GSE315794 and GSE320017 outcomes	GSE315794 supplied no orthogonal gene-level support; GSE320017 clinical-scar extension failed	Neither dataset was reanalyzed or placed in Phase 2B figures	Project record / Discussion or reviewer-response only	Negative and boundary evidence is preserved	Neither dataset is validation evidence and neither may be rescued
Originality	Targeted accession/DOI/title/concept collision audit	No directly identified publication combined both human cohorts with the Phase 2B evidence stack	Original papers, known GSE168760 reanalysis, GSE206495 secondary-search boundary, and current related transcriptomic study were compared	Main novelty boundary and Supplement audit	Novel increment is the dual-cohort participant-robust multi-layer architecture validation	No novelty claim for generic wound healing, inflammation, ECM, collagen, rejuvenation, or temporal response
